title;uses;root;language
Employee;294;;En
Manager;247;;En
Customer;188;;En
Finance;180;;En
Medarbejder;145;;Da
Applicant;137;;En
user;126;;En
Sagsbehandler;114;;Da
Automatic;112;;En
Ansøger;102;;Da
Company;100;;En
Doctor;99;;En
Nurse;96;;En
Patient;95;;En,Da
Leder;86;;Da
Administration;83;;En,Da
Finance department;78;;En
DBTrigger;74;;En
Caseworker;68;;En
Client;61;;En
student;60;;En,Da
Accountant;58;;En
System;55;;En,Da
Kunde;51;;Da
Receptionist;50;;En,Da
Responsible;50;;En
server1;49;;En
Auditor;47;;En,Da
Heater1;47;;En
Heater2;47;;En
Hub1;47;;En
Light Bulb1;47;;En
Light Bulb2;47;;En
Light Bulb3;47;;En
Person1;47;;En
Sensor0;47;;En
Sensor1;47;;En
Sensor2;47;;En
Sensor3;47;;En
Sensor4;47;;En
Sensor5;47;;En
Cashier;44;;En
Bank;44;;En,Da
Ny medarbejder;43;;Da
Boardmember;43;;En
Architect;43;;En
Borger;41;;Da
Supervisor;41;;En,Da
Lawyer;40;;En
Reviewer 3;40;;En
chef;40;;En,Da
Hospital;40;;En,Da
Specialist;40;;En,Da
costumer;40;;En
Hotline Server 1;38;;En
Hotline Server 2;38;;En
Reviewer 4;38;;En
Personale;38;;En,Da
Supporter;37;;En,Da
Dispatcher;36;;En
IKEA Foods;35;;En
Sales;34;;En
Person2;34;;En
Heater3;33;;En
End User;33;;En
Admin;32;;En,Da
ITSM tool;32;;En
Incident Manager;31;;En
Physician;30;;En
IT department;30;;En
Product Management;30;;En
Software Development;30;;En
Project Manager;30;;En
Financial department;30;;En
Bruger;29;;Da
Academy;29;;En
Secretary;29;;En
role3;27;;En
Økonomi;27;;Da
operations;27;;En
Buyer;26;;En
Afdelingsleder;26;;Da
Real Estate Agent;25;;En
Intern;25;;En
Server;25;;En,Da
Seller;25;;En
PhD Student;24;;En,Da
Kontorchef;24;;Da
developer;24;;En
Teacher;24;;En
DBAutomatic;23;;En
EHealth;23;;En
Carrier;23;;En
Runner;23;;En
Vendor;22;;En
PhD School Council;22;;En
Finans;22;;En,Da
Customer Care 2nd Line;22;;En
Customer Care 3rd Line;22;;En
role1;22;;En
Management;22;;En
GSopen;21;;En
post secretary;21;;En
LecoFood Administration;21;;En
Aflastningsperson;20;;En
ColdStore;20;;En
Production;20;;En
Tilsynsførende;20;;Da
Handibasen;19;;Da
Lead Doctor;19;;En
role2;19;;En
Consultant;19;;En
Project lead;18;;En
